component_raw,cost,service,component,source,date
Dataverse-Production,121.2990923434,Dataverse,production,usage_breakdown,2025-03-01
Dataverse-Production,118.1762002697,Dataverse,production,usage_breakdown,2025-03-01
Dataverse-Production,123.9904150061,Dataverse,production,usage_breakdown,2025-03-01
Dataverse-production,217.1991937494,Dataverse,production,usage_breakdown,2025-03-01
Dataverse-production,234.9892665033,Dataverse,production,usage_breakdown,2025-03-01
Dataverse-production,252.369514094,Dataverse,production,usage_breakdown,2025-03-01
Test-Dataverse,0.0823110617,Dataverse,test,usage_breakdown,2025-03-01
Test-Dataverse,90.5994540849,Dataverse,test,usage_breakdown,2025-03-01
Test-Dataverse,87.6362313939,Dataverse,test,usage_breakdown,2025-03-01
Test-Dataverse,90.5187175852,Dataverse,test,usage_breakdown,2025-03-01
Potree-computing,0.5578066941,Potree,compute,usage_breakdown,2025-03-01
Potree-computing,69.0072253276,Potree,compute,usage_breakdown,2025-03-01
Potree-computing,66.8942730554,Potree,compute,usage_breakdown,2025-03-01
Potree-computing,69.133068302,Potree,compute,usage_breakdown,2025-03-01
Test-Dataverse-Rocky9,0.0929592497,Dataverse,test,usage_breakdown,2025-04-01
Test-Dataverse-Rocky9,69.0907578414,Dataverse,test,usage_breakdown,2025-04-01
Test-Dataverse-Rocky9,66.8483273961,Dataverse,test,usage_breakdown,2025-04-01
Test-Dataverse-Rocky9,69.0730924589,Dataverse,test,usage_breakdown,2025-04-01
Dataverse-Test,3.3195755007,Dataverse,test,usage_breakdown,2025-04-01
Dataverse-Test,3.3325876119,Dataverse,test,usage_breakdown,2025-04-01
Dataverse-Test,5.860229927,Dataverse,test,usage_breakdown,2025-04-01
Dataverse-Test,12.9615383444,Dataverse,test,usage_breakdown,2025-04-01
Dataverse-Test,87.9824057239,Dataverse,test,usage_breakdown,2025-04-01
Dataverse-Test,90.9011431518,Dataverse,test,usage_breakdown,2025-04-01
potree,62.4370514848,Potree,total,usage_breakdown,2025-04-01
potree,69.119743603,Potree,total,usage_breakdown,2025-04-01
potree,66.3314524281,Potree,total,usage_breakdown,2025-04-01
Production-Processing,0.0464006574,Unknown,production,usage_breakdown,2025-04-01
Production-Processing,34.5239178027,Unknown,production,usage_breakdown,2025-05-01
Production-Processing,33.410141168,Unknown,production,usage_breakdown,2025-05-01
Production-Processing,34.5241985461,Unknown,production,usage_breakdown,2025-05-01
Dataverse Production ,12.1711008636,Dataverse,production,usage_breakdown,2025-05-01
Dataverse Production ,12.481185286,Dataverse,production,usage_breakdown,2025-05-01
Dataverse Production ,12.4811956776,Dataverse,production,usage_breakdown,2025-05-01
Dataverse Production ,12.481181676,Dataverse,production,usage_breakdown,2025-05-01
Dataverse Production ,12.481174852,Dataverse,production,usage_breakdown,2025-05-01
Dataverse Production ,12.481192494,Dataverse,production,usage_breakdown,2025-05-01
Dataverse-Test-storage,3.0929e-05,Dataverse,storage,usage_breakdown,2025-05-01
Dataverse-Test-storage,3.0018303931,Dataverse,storage,usage_breakdown,2025-05-01
Dataverse-Test-storage,2.8737508708,Dataverse,storage,usage_breakdown,2025-05-01
Dataverse-Test-storage,2.8600866302,Dataverse,storage,usage_breakdown,2025-05-01
LARIAC,0.5596445695,Unknown,other,usage_breakdown,2025-05-01
LARIAC,0.5481218607,Unknown,other,usage_breakdown,2025-05-01
